A CALAMITY OF SOULS,by David Baldacci,https://storage.googleapis.com/du-prd/books/images/9781538765029.jpg,Lawyers from different backgrounds represent a Black man charged with killing a wealthy white couple in Virginia in 1968.,,,,
THE WOMEN,by Kristin Hannah,https://storage.googleapis.com/du-prd/books/images/9781250178633.jpg,In 1965, a nursing student follows her brother to serve during the Vietnam War and returns to a divided America.,,,
A COURT OF THORNS AND ROSES,by Sarah J. Maas,https://storage.googleapis.com/du-prd/books/images/9781619634459.jpg,After killing a wolf in the woods, Feyre is taken from her home and placed inside the world of the Fae.,,,
THE MURDER INN,by James Patterson and Candice Fox,https://storage.googleapis.com/du-prd/books/images/9781538710944.jpg,A crime boss moves into the town where a former cop runs an inn.,,,,
A COURT OF MIST AND FURY,by Sarah J. Maas,https://storage.googleapis.com/du-prd/books/images/9781635575583.jpg,The second book in the Court of Thorns and Roses series. Feyre gains the powers of the High Fae and a greater evil emerges.,,,,
AN UNFINISHED LOVE STORY,by Doris Kearns Goodwin,https://storage.googleapis.com/du-prd/books/images/9781982108663.jpg,A trove of items collected by the Pulitzer Prize-winning historian’s late husband inspired an appraisal of central figures and pivotal moments of the 1960s.,,,,
THE ANXIOUS GENERATION,by Jonathan Haidt,https://storage.googleapis.com/du-prd/books/images/9780593655030.jpg,A co-author of “The Coddling of the American Mind” looks at the mental health impacts that a phone-based life has on children.,,,,
LOVE, MOM,by Nicole Saphier,https://storage.googleapis.com/du-prd/books/images/9780063325654.jpg,Fox News anchors and personalities contribute to a collection of reflections on motherhood.,,,
KNIFE,by Salman Rushdie,https://storage.googleapis.com/du-prd/books/images/9780593730249.jpg,The Booker Prize-winning author details the attack on him at the Chautauqua Institution in 2022 and the steps he took to heal from it.,,,,
THE WIDE WIDE SEA,by Hampton Sides,https://storage.googleapis.com/du-prd/books/images/9780385544764.jpg,The author of “On Desperate Ground” depicts Captain James Cook’s final voyage and the controversies surrounding its legacy.,,,,
THE WOMEN,by Kristin Hannah,https://storage.googleapis.com/du-prd/books/images/9781250178633.jpg,In 1965, a nursing student follows her brother to serve during the Vietnam War and returns to a divided America.,,,
A CALAMITY OF SOULS,by David Baldacci,https://storage.googleapis.com/du-prd/books/images/9781538765029.jpg,Lawyers from different backgrounds represent a Black man charged with killing a wealthy white couple in Virginia in 1968.,,,,
FOURTH WING,by Rebecca Yarros,https://storage.googleapis.com/du-prd/books/images/9781649374042.jpg,Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.,,
THE FAMILIAR,by Leigh Bardugo,https://storage.googleapis.com/du-prd/books/images/9781250884251.jpg,Luzia Cotado encounters dangers when her magic draws the attention of the disgraced secretary to Spain's king.,,,,
IRON FLAME,by Rebecca Yarros,https://storage.googleapis.com/du-prd/books/images/9781649374172.jpg,The second book in the Empyrean series. Violet Sorrengail’s next round of training might require her to betray the man she loves.,,,,
