"title","author","img","description","buy"
"IT ENDS WITH US","by Colleen Hoover","https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg","A battered wife raised in a violent home attempts to halt the cycle of abuse; the basis of the film.","https://bookshop.org/a/3546/9781501110368"
"APPRENTICE TO THE VILLAIN","by Hannah Nicole Maehrer","https://storage.googleapis.com/du-prd/books/images/9781649377173.jpg","The second book in the Assistant and the Villain series. Evie Sage picks up some nefarious skills in order to protect her boss’s lair.","https://bookshop.org/a/3546/9781649377173"
"SHADOW OF DOUBT","by Brad Thor","https://storage.googleapis.com/du-prd/books/images/9781982182236.jpg","The 23rd book in the Scot Harvath series. A mess of trouble involving double agents, international intrigue and a potential global firestorm forces Harvath to choose between his country and his conscience.","https://bookshop.org/a/3546/9781982182267"
"IT STARTS WITH US","by Colleen Hoover","https://storage.googleapis.com/du-prd/books/images/9781668001226.jpg","In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend.","https://bookshop.org/a/3546/9781668001226"
"THE WOMEN","by Kristin Hannah","https://storage.googleapis.com/du-prd/books/images/9781250178633.jpg","In 1965, a nursing student follows her brother to serve during the Vietnam War and returns to a divided America.","https://bookshop.org/a/3546/9781250178633"
"HILLBILLY ELEGY","by J.D. Vance","https://storage.googleapis.com/du-prd/books/images/9780062300560.jpg","The Yale Law School graduate and 2024 Republican vice presidential nominee looks at the struggles of the white working class through the story of his own childhood.","https://bookshop.org/a/3546/9780062300553"
"THE ART OF POWER","by Nancy Pelosi","https://storage.googleapis.com/du-prd/books/images/9781668048047.jpg","The representative from California chronicles her journey in politics, including her time as the first woman to serve as speaker of the House.","https://bookshop.org/a/3546/9781668048047"
"OVER RULED","by Neil Gorsuch and Janie Nitze","https://storage.googleapis.com/du-prd/books/images/9780063238473.jpg","An associate justice of the United States Supreme Court questions the amount and complexity of laws in America.","https://bookshop.org/a/3546/9780063238473"
"THE ANXIOUS GENERATION","by Jonathan Haidt","https://storage.googleapis.com/du-prd/books/images/9780593655030.jpg","A co-author of “The Coddling of the American Mind” looks at the mental health impacts that a phone-based life has on children.","https://bookshop.org/a/3546/9780593655030"
"THE BODY KEEPS THE SCORE","by Bessel van der Kolk","https://storage.googleapis.com/du-prd/books/images/9780670785933.jpg","How trauma affects the body and mind, and innovative treatments for recovery.","https://bookshop.org/a/3546/9780143127741"
"THE WOMEN","by Kristin Hannah","https://storage.googleapis.com/du-prd/books/images/9781250178633.jpg","In 1965, a nursing student follows her brother to serve during the Vietnam War and returns to a divided America.","https://bookshop.org/a/3546/9781250178633"
"THE COVEN","by Harper L. Woods","https://storage.googleapis.com/du-prd/books/images/9781250346742.jpg","At Hollow’s Grove University, a school for magic that suffered a bloody massacre decades ago, 13 gifted students confront ghosts from the school’s past.","https://bookshop.org/a/3546/9781250346742"
"SHADOW OF DOUBT","by Brad Thor","https://storage.googleapis.com/du-prd/books/images/9781982182236.jpg","The 23rd book in the Scot Harvath series. A mess of trouble involving double agents, international intrigue and a potential global firestorm forces Harvath to choose between his country and his conscience.","https://bookshop.org/a/3546/9781982182236"
"FOURTH WING","by Rebecca Yarros","https://storage.googleapis.com/du-prd/books/images/9781649374042.jpg","Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.","https://bookshop.org/a/3546/9781649374042"
"HARD TO KILL","by James Patterson and Mike Lupica","https://storage.googleapis.com/du-prd/books/images/9780316569910.jpg","The second book in the Jane Smith series. A double triple homicide complicates matters for Smith.","https://bookshop.org/a/3546/9780316569910"
"THE ART OF POWER","by Nancy Pelosi","https://storage.googleapis.com/du-prd/books/images/9781668048047.jpg","The representative from California chronicles her journey in politics, including her time as the first woman to serve as speaker of the House.","https://bookshop.org/a/3546/9781668048047"
"THE ANXIOUS GENERATION","by Jonathan Haidt","https://storage.googleapis.com/du-prd/books/images/9780593655030.jpg","A co-author of “The Coddling of the American Mind” looks at the mental health impacts that a phone-based life has on children.","https://bookshop.org/a/3546/9780593655030"
"OVER RULED","by Neil Gorsuch and Janie Nitze","https://storage.googleapis.com/du-prd/books/images/9780063238473.jpg","An associate justice of the United States Supreme Court questions the amount and complexity of laws in America.","https://bookshop.org/a/3546/9780063238473"
